0	CP	ENCOMIENDAS INTERNACIONALES	00	A	C	ENCOMIENDA
1	EMS	EXPRESS MAIL SERVICE EMS	01	A	E	E.M.S.
2	PPA	PEQUEÑOS PAQUETES AFORABLES	02	A	(null)	(null)
3	SM	SACAS M				03	A	(null)	(null)
4	PPO	PEQUEÑOS PAQUETES ORDINARIOS	10	N	(null)	(null)
5	CE	CERTIFICADOS TRADICIONALES	04	C	U	CERTIFICADO
6	SEN	SERVICIO EXPRESO NACIONAL-SEN	07	C	(null)	(null)
7	SEL	SERVICIO EXPRESO LOCAL-SEL	07	C	(null)	(null)
8	OVE	OVERNIGHT /EXPRESO SEGURO	11	C	(null)	(null)
9	EMP	SERVICIO EMPRESARIAL (NACIONAL)	12	C	(null)	(null)
11	EML	SERVICIO EMPRESARIAL (LOCAL)	13	C	(null)	(null)
12	UMI	CONCURSO 1 MILLON	08	D	(null)	(null)
